WASP-33 b	2.8	1.603	1.21986967	0.02558	0	87.7	0.000221	2010	2020-07-13
KMT-2018-BLG-0748 b	0.19	—	—	0.62	—	—	—	2020	2020-07-13
HAT-P-11 c	2.3	—	3397	4.13	0.604	135.7	—	2018	2020-07-08
HD 4747 b	66.6	—	12090	16.4	0.734	50	—	2016	2020-07-07
pi Men c	0.01517	0.1838	6.268	0.06702	0.15	87.56	—	2018	2020-07-07
pi Men b	0.0406	—	2090.3	3.22	0.644	51.2	0.179039	2001	2020-07-07
HD 189733 b	1.142	1.138	2.21857312	0.03142	0.0041	85.51	0.001628	2005	2020-07-07
WASP-166 b	0.102	0.63	5.443526	0.0642	0	87.8	—	2018	2020-07-06
K2-38 c	0.0261	0.2043	10.56103	0.09514	0.161	87.68	—	2016	2020-07-03
K2-38 b	0.023	0.1374	4.01593	0.04994	0.197	88.36	—	2015	2020-07-03
HD 16417 b	—	—	17.24	0.14	0.2	—	0.00549	2009	2020-07-02
OGLE-2018-BLG-1269L b	0.69	—	—	4.61	—	—	—	2020	2020-06-30
GJ 887 c	—	—	21.789	0.12	—	—	—	2020	2020-06-27
GJ 887 b	—	—	9.252	0.068	—	—	—	2020	2020-06-26
BD-11 4672 c	—	—	74.2	0.3	0.4	—	—	2020	2020-06-26
TOI-1728 b	0.08426	0.4505	3.49151	0.0391	0.057	88.31	—	2020	2020-06-26
BD-11 4672 b	—	—	1634	2.36	0.05	—	0.091575	2010	2020-06-26
KELT-7 b	1.29	1.533	2.7347749	0.04415	—	83.76	—	2015	2020-06-26
AU Mic b	0.18	0.375	8.46321	0.066	0.1	—	—	—	2020-06-25
TOI-717 b	—	—	0.5079	—	—	—	—	2020	2020-06-24
WD 1032+011 b	0.067	1.05	0.091558961	—	—	87.5	—	2020	2020-06-22
TOI-1266 b	0.05	0.21929	10.894879	0.0745	0	89.36	—	2020	2020-06-22
TOI-1266 c	6.4	1.673	18.80152	0.1037	0	89.225	—	2020	2020-06-22
GJ 273 b	0.00922	—	18.64	0.091	0.1	80	—	2017	2020-06-19
GJ 273 c	0.00374	—	4.72322	0.036	0.17	80	—	2017	2020-06-19
GJ 273 d	0.03448	—	413.9	0.712	0	80	—	2019	2020-06-19
GJ 273 e	0.0297	—	542	0.849	0	80	—	2019	2020-06-19
Proxima Centauri c	0.03	—	1928	1.48	0	133	—	2019	2020-06-17
EPIC 249631677 b	—	0.0848	3.1443189	0.0234	—	88.74	—	2020	2020-06-15
Kepler-53 c	15.75	0.28	38.5583038	—	—	—	—	2012	2020-06-13
Kepler-53 b	18.41	0.26	18.6489525	—	—	—	—	2012	2020-06-13
Kepler-52 c	10.41	0.16	16.3850021	—	—	—	—	2012	2020-06-13
